Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,brain_region,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,time_point,tissue
SRR10596901,RNA-Seq,302,14311533568,PRJNA593775,SAMN13489076,Prefrontal Cortex,5334232481,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7276740,wild type,GSM4205532,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205532,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596902,RNA-Seq,302,21551954274,PRJNA593775,SAMN13489108,Prefrontal Cortex,7961729131,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7276741,wild type,GSM4205533,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205533,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596903,RNA-Seq,302,21930820824,PRJNA593775,SAMN13489107,Prefrontal Cortex,8105614553,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7276742,wild type,GSM4205534,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205534,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596904,RNA-Seq,302,20327721774,PRJNA593775,SAMN13489106,Prefrontal Cortex,7508246389,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7276743,wild type,GSM4205535,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205535,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596905,RNA-Seq,302,15165675336,PRJNA593775,SAMN13489105,Prefrontal Cortex,5605785984,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7276744,wild type,GSM4205536,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205536,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596906,RNA-Seq,302,15053568708,PRJNA593775,SAMN13489104,Prefrontal Cortex,5568850102,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7276745,wild type,GSM4205537,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205537,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596907,RNA-Seq,302,16058686920,PRJNA593775,SAMN13489103,Prefrontal Cortex,6186358224,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7276746,wild type,GSM4205538,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205538,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596908,RNA-Seq,302,22557077922,PRJNA593775,SAMN13489102,Prefrontal Cortex,8984061915,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7276747,wild type,GSM4205539,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205539,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596909,RNA-Seq,302,14816749368,PRJNA593775,SAMN13489101,Prefrontal Cortex,5947298442,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7276748,wild type,GSM4205540,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205540,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596910,RNA-Seq,302,19152785036,PRJNA593775,SAMN13489100,Prefrontal Cortex,7113053890,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7276749,wild type,GSM4205541,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205541,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596911,RNA-Seq,302,18258993386,PRJNA593775,SAMN13489099,Prefrontal Cortex,6784786320,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7276750,wild type,GSM4205542,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205542,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
SRR10596912,RNA-Seq,302,16533586450,PRJNA593775,SAMN13489098,Prefrontal Cortex,6155286972,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7276751,wild type,GSM4205543,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-12-09T00:00:00Z,GSM4205543,Prefrontal Cortex,SRP234876,C57BL/6,28-days Abstinence,Brain
